Order,Family,Genus,Species,Time,Disp.M,Disp.95,Mass,Diet,NDVI,HFI
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.330588127,1.059773647,52500,H,-0.515334278,6.42516246
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.390746583,1.097982846,52500,H,-0.624755595,6.53246897
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.205258786,1.066545302,52500,H,-0.23055913,5.930675689
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.148148011,1.036637012,52500,H,-0.133505261,5.405699902
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.335921747,0.947331628,52500,H,-0.315283221,10.27580703
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.400861788,1.097979491,52500,H,-0.293509603,6.776178257
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.249427843,1.173095533,52500,H,-0.164460123,5.535121064
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.318177985,1.090725443,52500,H,-0.527112948,9.85049658
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.243689719,1.001775198,52500,H,-0.283361097,7.739804607
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.356263169,1.172633268,52500,H,-0.109152705,6.257730567
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.223738309,0.977517826,52500,H,0.025097729,5.581677939
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.370663549,1.00064201,52500,H,-0.298147055,5.856585398
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.38659951,1.010535479,52500,H,-0.316467123,5.74851936
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.270712925,0.833381054,52500,H,0.017252085,10.24722088
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.367250719,0.940101949,52500,H,-0.219260795,6.025257036
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.381389645,1.167437746,52500,H,-0.375934712,6.717286878
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.315966023,1.187388029,52500,H,-0.197390705,8.33256564
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.407201863,1.480597879,52500,H,-0.094065163,9.364034594
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.384381298,1.09564806,52500,H,-0.290581214,8.625493939
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.505373925,1.18254751,52500,H,-0.094921273,8.758350185
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.332298171,1.371729239,52500,H,-0.48642068,6.439134549
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.52364819,1.181140703,52500,H,-0.598397363,6.562950152
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.457519473,1.312748014,52500,H,-0.211571727,6.076298455
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.207020278,1.253374746,52500,H,-0.099844304,5.407725466
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.458643684,1.160264341,52500,H,-0.296193184,10.33874853
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.518244679,1.254633473,52500,H,-0.257740628,6.767750444
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,16,0.390583995,1.35148107,52500,H,-0.131746591,5.54569439
