Family,Genus,Species,C.Name,Social.Class,Natal.Den,Hibernaculum,Predation,Food.Storage,Residence,FP,Primary,Secondary,Occupant,BC,Length,Height,Mass.F,Mass.M,Mass.A,ML,Eyes,Lac,Ind,ImpDel,Gestation,Litter,Mat,Long,HR,Pred,GS,Lat,Diet
Canidae,Cerdocyon,thous,Crab-eating fox,2,1,0,0,0,1,2,1,0,1,2,643,,6,6,6,0.3,14,90,195,0,56,3.1,12,,,,2,12.43,Omnivorous
Canidae,Chrysocyon,brachyurus,Maned wolf,,,,,,,,,,,,1020,,,,23,0.5,9,,,0,65,3.5,,162,,,,,Omnivorous
Canidae,Speothos,venaticus,Bush dog,2,1,0,0,0,1,2,0,0,1,1,735,,,,,,16.5,112,,,67,4.5,11,,,2,2,11.37,Carnivorous
Canidae,Nyctereutes,procyonoides,Raccoon dog,3,1,1,0,0,1,3,1,0,1,2,539,,4.9,4,4.5,0.2,9.5,35,126,0,61.5,6,10,90,,8,2,54.28,Omnivorous
Ursidae,Ailuropoda,melanoleuca,Giant panda,,0,0,0,0,0,0,0,0,0,0,1350,,120,150,135,0.7,50,180,180,,140,1.5,76,216,,,,33.99,Frugivorous/Herbivorous
Ursidae,Helarctos,malayanus,Sun bear,1,0,0,0,0,0,0,0,0,0,0,1200,700,,,45,0.5,25,,,,95.5,1.5,30,,,,1,27.59,Frugivorous/Herbivorous
Ursidae,Ursus,americanus,American black bear,1,0.5,0.5,0,0,0,1,1,0,0,3,1500,,58,86,72,0.6,34,210,476,,65,2.5,24,276,120,,1,68.03,Frugivorous/Herbivorous
Ursidae,Ursus,arctos,Brown bear,1,0.5,0.5,0,0.5,0,1.5,1,0,0,3,1900,1500,207,389,298,0.8,,730,,,63,2.5,48,306,722,0,1,73.82,Frugivorous/Herbivorous
Ursidae,Ursus,maritimus,Polar bear,1,1,0,0,0,0,1,1,0,0,3,2075,,320,410,365,0.8,,728,821,,,1.9,42,408,,0,1,85.04,Carnivorous
Ursidae,Ursus,thibetanus,Asian black bear,,0.5,0.5,0.5,0,0,1.5,1,0,0,3,1575,850,77.5,130.1,103.8,0.6,,119,913,,,2,42,396,,2,,51.41,Frugivorous/Herbivorous
Procyonidae,Procyon,pygmaeus,Cozumel Raccoon,1,,,,,,,,,,,755,,,,3.5,0.2,,,,,,,,,0.7,,,20.59,Omnivorous
Procyonidae,Procyon,lotor,Common Raccoon,,0.5,0,0,0,0,0.5,0,0,1,1,774,,5.9,6.8,6.4,0.3,23,119,,,64.7,3.8,19,120,0.1,3,,58.9,Omnivorous
Procyonidae,Nasua,nasua,South American coati,3,0,0,0,0,0,0,0,0,0,0,532,,3,3.9,3.4,0.2,10,,,,75.5,3.5,,,,4,5.3,9.77,Omnivorous
Procyonidae,Nasua,narica,White-nosed coati,4,0,0,0,0,0,0,0,0,0,0,545,,5,5,5,0.3,7.5,124,,,73.5,3.5,22,,0.4,6,5.4,35.57,Omnivorous
Procyonidae,Bassariscus,astutus,Ringtail,1,0.5,0.5,0,0,0.5,1.5,0,0,1,1,340,,0.9,1,1,0,27.5,70,,,52.5,3,24,96,1.4,4,1,43.65,Omnivorous
Potos,Potos,flavus,Kinkajou,,0,0,0,0,0,0,0,0,0,0,632,,2.6,3.4,3,0.2,,119,,,106.5,1.5,22.5,,,3,,24.26,Omnivorous
Procyonidae,Bassaricyon,gabbii,Northern olingo,,0,0,0,0,0,0,0,0,0,0,367,,1.1,1.1,1.1,0,,,,,70,1,,,0.2,4,,13.34,Frugivorous/Herbivorous
Mustelidae,Arctonyx,collaris,Hog badger,,1,,,,1,2,1,0,0,3,,,,10.5,,,48,85,,,42,3,,167,,,,47.25,Omnivorous
Mustelidae,Eira,barbara,Tayra,1,1,0,0,0,0.5,1.5,1,0,0,3,635.5,,4.4,4.8,4.6,0.2,41,75,200,0,64,3.5,18,144,9,0,1,24.31,Omnivorous
Mustelidae,Galictis,vittata,Greater grison,3,1,0,0,0,1,2,0,0,1,1,518.8,,1.6,3.4,2.6,0.2,14,21,,,39,2,,126,4.2,,,23.05,Carnivorous
Mustelidae,Galictis,cuja,Lesser grison,3,0,0,0,0,0.5,0.5,1,0,1,2,408.9,,1,1,1,0,,,,,,,,,,,,-14.26,Carnivorous
Mustelidae,Gulo,gulo,Wolverine,1,1,0,0,1,1,3,1,0,0,3,950,,10.6,14.8,12.7,0.4,,70,,195,35,2.8,21,186,405,5,1,83.03,Carnivorous
Mustelidae,Ictonyx,striatus,Zorilla,1,1,0,1,0,1,3,0,1,1,1.5,338.5,,1.3,1.9,1.6,0.1,40,56,63,0,36,2.3,9,60,,,1,23.04,Carnivorous
Mustelidae,Ictonyx,libyca,Saharan striped polecat,1,1,0,0,0,1,2,0,1,1,1.5,,,,0.2,,,,,,0,55,2.5,,60,,,1,37.02,Carnivorous
Mustelidae,Martes,americana,American marten,1,0.5,0,0,0,0.5,1,0,0,1,1,600,,0.8,1,0.9,0,39,46,,225,27,2.6,12,150,1.6,8,1,69.44,Carnivorous
Mustelidae,Martes,flavigula,Yellow-throated marten,3,,,,,,,,,,,610,,3.4,,3,0.2,,,,105,60,2.5,,168,7.2,,3,49.75,Carnivorous
Mustelidae,Martes,foina,Beech marten,1,0.5,0,0,0,0.5,1,0,0,1,1,,,1.5,1.8,1.6,,33,43,,240,30,3.5,,217,3.6,4,1,59.47,Omnivorous
Mustelidae,Martes,martes,Pine marten,1,0.5,0,0,0,0.5,1,0,0,1,1,530,,1.2,1.2,1.2,0,,45,,210,30,3.3,24,204,1.5,>1,1.5,69.93,Carnivorous
Mustelidae,Martes,melampus,Japanese marten,1,,,,,,,,,,,,,,,,,,,,195,45,3,,,,,1,43.32,
Mustelidae,Martes,pennanti,Fisher,1,0,0,0,0,1,1,0,0,1,1,735,,2.3,4.5,3.4,0.2,49,63,140,315,30,3,12,120,15,1,1,61.61,Carnivorous
